Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,estimate_meal_prepare_time,arrive_time,order_push_time,platform_order_time
226028,20221017,212889.0,226028.0,1875.0,12.0,1.0,0.0,1666004108.0,0.0,359.0,174528240.0,45890505.0,174561192.0,45888207.0,174542594.0,45887423.0,1666001868.0,1666001881.0,1666002299.0,1666001517.0,1666003391.0,1666001528.0,1666001517.0
252256,20221017,236204.0,252256.0,1543.0,0.0,1.0,0.0,1666001282.0,0.0,3777.0,174584310.0,45859150.0,174562150.0,45859773.0,174571765.0,45858017.0,1665999557.0,1665999575.0,1666000770.0,1665999289.0,1666002284.0,1665999344.0,1665999289.0
455251,20221017,409118.0,455251.0,3097.0,9.0,1.0,0.0,1666003420.0,0.0,1657.0,174648203.0,45879744.0,174630245.0,45897863.0,174650698.0,45880737.0,1666001032.0,1666001040.0,1666001576.0,1666000719.0,1666003246.0,1666000721.0,1666000719.0
29378,20221017,29108.0,29378.0,3137.0,2.0,1.0,0.0,1666004804.0,0.0,607.0,174556837.0,45867117.0,174510010.0,45856406.0,174574162.0,45858789.0,1666001418.0,1666001427.0,1666002622.0,1666000895.0,1666005139.0,1666000905.0,1666000895.0
530266,20221017,470170.0,530266.0,2503.0,0.0,1.0,0.0,1666003460.0,0.0,1952.0,174549408.0,45850078.0,174528257.0,45856511.0,174552246.0,45851017.0,1666001418.0,1666001425.0,1666001529.0,1666000964.0,1666002234.0,1666001028.0,1666000964.0
117795,20221017,113816.0,117795.0,2025.0,6.0,1.0,0.0,1666001750.0,0.0,2963.0,174938586.0,46043365.0,174938593.0,46051655.0,174937550.0,46047704.0,1665999387.0,1665999527.0,1666000010.0,1665999226.0,1666000573.0,1665999234.0,1665999226.0
193289,20221017,183382.0,193289.0,3325.0,0.0,1.0,0.0,1666003657.0,0.0,4363.0,174556441.0,45858711.0,174540742.0,45868567.0,174558188.0,45861581.0,1666000967.0,1666001038.0,1666002260.0,1666000955.0,1666003583.0,1666000961.0,1666000955.0
71990,20221017,70450.0,71990.0,2155.0,7.0,1.0,0.0,1666002146.0,0.0,818.0,174575733.0,45854890.0,174598115.0,45869119.0,174570579.0,45849789.0,1665999352.0,1665999897.0,1666000331.0,1665999325.0,1666001733.0,1665999327.0,1665999325.0
101537,20221017,98548.0,101537.0,2343.0,21.0,1.0,0.0,1666005319.0,0.0,799.0,174523245.0,45820093.0,174551239.0,45833312.0,174523453.0,45821919.0,1666002887.0,1666002900.0,1666003313.0,1666001597.0,1666004679.0,1666001601.0,1666001597.0
45870,20221017,45238.0,45870.0,1560.0,7.0,1.0,0.0,1666002855.0,0.0,824.0,174559783.0,45863367.0,174570339.0,45867036.0,174553719.0,45855875.0,1666000882.0,1666000897.0,1666001708.0,1666000869.0,1666002797.0,1666000877.0,1666000869.0
190019,20221017,180399.0,190019.0,3872.0,20.0,1.0,0.0,1666003832.0,0.0,90.0,174536720.0,45866359.0,174549265.0,45866396.0,174530311.0,45861770.0,1666001837.0,1666001856.0,1666002194.0,1666001783.0,1666004052.0,1666001794.0,1666001783.0
412789,20221017,373937.0,412789.0,900.0,4.0,1.0,0.0,1666000943.0,0.0,2326.0,174580357.0,45839015.0,174586526.0,45846683.0,174581458.0,45841641.0,1665999377.0,1665999394.0,1665999962.0,1665999009.0,1666000566.0,1665999030.0,1665999009.0
445520,20221017,401067.0,445520.0,3457.0,18.0,1.0,0.0,1666002367.0,0.0,785.0,174567410.0,45766155.0,174556027.0,45750156.0,174572133.0,45769165.0,1666000348.0,1666000355.0,1666000951.0,1666000257.0,1666001592.0,1666000268.0,1666000257.0
216011,20221017,203894.0,216011.0,3137.0,0.0,1.0,0.0,1666003835.0,0.0,1077.0,174572988.0,45867955.0,174529607.0,45861489.0,174583277.0,45857621.0,1666001132.0,1666001136.0,1666001727.0,1666000830.0,1666004081.0,1666001132.0,1666000830.0
95049,20221017,13125.0,95049.0,2350.0,12.0,1.0,0.0,1666004612.0,0.0,1269.0,174545778.0,45889637.0,174496475.0,45893918.0,174543463.0,45894222.0,1666001117.0,1666001124.0,1666001917.0,1666001010.0,1666003583.0,1666001013.0,1666001010.0
278521,20221017,259311.0,278521.0,487.0,0.0,1.0,0.0,1666004368.0,0.0,580.0,174580556.0,45870354.0,174568232.0,45866902.0,174585234.0,45872714.0,1666002258.0,1666002263.0,1666002452.0,1666001725.0,1666003347.0,1666001727.0,1666001725.0
487843,20221017,435767.0,487843.0,77.0,20.0,1.0,0.0,1666001091.0,0.0,1757.0,174536713.0,45866251.0,174517919.0,45866504.0,174536616.0,45862118.0,1665999317.0,1665999328.0,1665999784.0,1665999288.0,1666000580.0,1665999292.0,1665999288.0
